# frequency channel 204 = 159.3750 MHz
# all phases in degrees 
# ANT AMP_XX PHASE_XX AMP_YY PHASE_YY AMP_XY PHASE_XY AMP_YX PHASE_YX
236 33.253 -26.178 27.073 -26.178 0.00 0.00 0.00 0.00
237 33.896 -14.032 27.792 -14.032 0.00 0.00 0.00 0.00
238 35.382 -13.330 31.938 -13.330 0.00 0.00 0.00 0.00
239 27.849 29.083 29.701 29.083 0.00 0.00 0.00 0.00
240 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
241 39.825 -25.346 30.851 -25.346 0.00 0.00 0.00 0.00
242 30.393 2.684 28.746 2.684 0.00 0.00 0.00 0.00
243 42.019 -18.809 24.163 -18.809 0.00 0.00 0.00 0.00
244 27.656 26.936 28.189 26.936 0.00 0.00 0.00 0.00
245 77.975 4.138 38.253 4.138 0.00 0.00 0.00 0.00
246 40.037 -6.817 66.432 -6.817 0.00 0.00 0.00 0.00
247 39.290 -3.527 27.315 -3.527 0.00 0.00 0.00 0.00
248 31.741 -0.297 25.387 -0.297 0.00 0.00 0.00 0.00
249 31.803 10.686 29.663 10.686 0.00 0.00 0.00 0.00
250 33.966 2.413 37.090 2.413 0.00 0.00 0.00 0.00
251 35.450 9.749 32.517 9.749 0.00 0.00 0.00 0.00
252 43.770 -14.988 36.875 -14.988 0.00 0.00 0.00 0.00
253 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
254 28.558 1.091 23.678 1.091 0.00 0.00 0.00 0.00
255 27.440 -21.783 25.875 -21.783 0.00 0.00 0.00 0.00
